;id;en;full_ssp_name;lat;lng;type;time;date;file
0;231261;Grey Tinamou;Tinamus_tao_;10.85;-68.55;long call;07:30;1996-06-22;https://www.xeno-canto.org/231261/download
1;231253;Grey Tinamou;Tinamus_tao_;10.25;-68.5;call;18:30;2007-08-15;https://www.xeno-canto.org/231253/download
2;6189;Grey Tinamou;Tinamus_tao_septentrionalis;10.1717;-66.5028;song;1815;1984-12-02;https://www.xeno-canto.org/6189/download
3;231240;Great Tinamou;Tinamus_major_;7.25;-65.0;song;18:00;1997-03-26;https://www.xeno-canto.org/231240/download
4;226701;Highland Tinamou;Nothocercus_bonapartei_;10.35;-67.7;song;07:15;1995-03-26;https://www.xeno-canto.org/226701/download
5;202363;Highland Tinamou;Nothocercus_bonapartei_bonapartei;10.3489;-67.6844;song;?;2009-02-27;https://www.xeno-canto.org/202363/download
6;226702;Highland Tinamou;Nothocercus_bonapartei_;10.35;-67.7;song;07:15;1995-03-26;https://www.xeno-canto.org/226702/download
7;6192;Highland Tinamou;Nothocercus_bonapartei_bonapartei;10.3612;-67.5856;song;?;1985-02-14;https://www.xeno-canto.org/6192/download
8;6881;Tawny-breasted Tinamou;Nothocercus_julius_;7.4223;-72.4251;song;14:45;2006-08-12;https://www.xeno-canto.org/6881/download
9;225380;Cinereous Tinamou;Crypturellus_cinereus_;6.963;-64.899;song;00:00;2010-03-04;https://www.xeno-canto.org/225380/download
10;221821;Cinereous Tinamou;Crypturellus_cinereus_;5.0;-66.3833333333;song;?;1993-11-01;https://www.xeno-canto.org/221821/download
11;6265;Cinereous Tinamou;Crypturellus_cinereus_;1.9201;-67.0606;song;?;1985-04-11;https://www.xeno-canto.org/6265/download
12;221886;Little Tinamou;Crypturellus_soui_;10.85;-68.55;song;09:00;1997-02-01;https://www.xeno-canto.org/221886/download
13;221885;Little Tinamou;Crypturellus_soui_;10.25;-68.5;song;18:30;2007-08-15;https://www.xeno-canto.org/221885/download
14;221884;Little Tinamou;Crypturellus_soui_;7.25;-65.0;song;06:15;1997-03-26;https://www.xeno-canto.org/221884/download
15;221883;Little Tinamou;Crypturellus_soui_;4.6;-61.5;song;06:00;2002-07-31;https://www.xeno-canto.org/221883/download
16;10858;Little Tinamou;Crypturellus_soui_;10.1045;-63.7926;Song;18:00;2006-12-16;https://www.xeno-canto.org/10858/download
17;629962;Little Tinamou;Crypturellus_soui_;11.2257;-69.6166;aberrant, adult, sex uncertain;2:00;2021-03-06;https://www.xeno-canto.org/629962/download
18;387849;Little Tinamou;Crypturellus_soui_;5.6709;-67.5551;song;20:00;2011-03-22;https://www.xeno-canto.org/387849/download
19;387848;Little Tinamou;Crypturellus_soui_;5.6709;-67.5551;song;08:30;2011-03-24;https://www.xeno-canto.org/387848/download
20;225388;Little Tinamou;Crypturellus_soui_;6.963;-64.899;song;00:00;2006-12-01;https://www.xeno-canto.org/225388/download
21;221902;Little Tinamou;Crypturellus_soui_;10.85;-68.55;song?;09:00;1997-02-01;https://www.xeno-canto.org/221902/download
22;221901;Little Tinamou;Crypturellus_soui_;10.35;-68.2;rising song;18:30;2003-07-22;https://www.xeno-canto.org/221901/download
23;221899;Little Tinamou;Crypturellus_soui_;10.25;-63.5833333333;song;07:30;2003-08-01;https://www.xeno-canto.org/221899/download
24;221898;Little Tinamou;Crypturellus_soui_;9.9166666667;-62.9166666667;song;?;1994-03-31;https://www.xeno-canto.org/221898/download
25;221894;Little Tinamou;Crypturellus_soui_;5.3333333333;-67.7;song;18:00;1997-03-28;https://www.xeno-canto.org/221894/download
26;204093;Little Tinamou;Crypturellus_soui_;5.6201;-67.6278;call;08:30;2011-03-24;https://www.xeno-canto.org/204093/download
27;204089;Little Tinamou;Crypturellus_soui_;5.6201;-67.6278;song;05:30;2011-03-24;https://www.xeno-canto.org/204089/download
28;192273;Little Tinamou;Crypturellus_soui_andrei;10.1988;-63.4418;song;08:00;2014-08-15;https://www.xeno-canto.org/192273/download
29;192272;Little Tinamou;Crypturellus_soui_andrei;10.1988;-63.4418;song;08:00;2014-08-15;https://www.xeno-canto.org/192272/download
